Ngo Name,Mobile No,Email,City
Social and Healthy Action for Rural Empowerment,9431368237,share.org@rediffmail.com,"36/2002-03, Jamshedpur, JHARKHAND"
VIKALP,9824385725,vikalpahd@gmail.com,"E/15763, AHMEDABAD, GUJARAT"
All India Parivartan Sewa Samiti,9811897589,aipssngo@yahoo.com,"s-43282, New Delhi, DELHI"
Magadheswar Club,9937788159,mc.ulunda@gmail.com,"1314-130-1990/91, Subarnapur, ORISSA"
ACIL NAVASAR JAN RURAL DEVELOPMENT FOUNDATION,9867315737,info.anarde@gmail.com,"E -7126, Mumbai, MAHARASHTRA"
bread for tribal village,9907775648,breadfortribalvillage.ngo@gmail.com,"26347, meghnagar, MADHYA PRADESH"
Society for educational enviorinment and devlopmen,9940120937,seed_ngo_karur@yahoo.com,"49/2004, KARUR, TAMIL NADU"
TUFANGANJ ANWESHA WELFARE SOCIETY,9733434859,anweshango_ws2@yahoo.com,"S/1L-18986, TUFANGANJ, WEST BENGAL"
Nice Foundation,9444145253,nicefoundation@yahoo.com,"1081, Chennai, TAMIL NADU"
Prodigals Home,9436009366,prodigalsh@yahoo.co.in,"RS 1349, Dimapur, NAGALAND"
GUILD FOR URBAN AND RURAL DEVELOPMENT SOCIETY,9440183913,guards.india@gmail.com,"309/2002, Tirupati, ANDHRA PRADESH"
Bhartiya Parivardhan Sanstha,9810064598,bps_org@rediffmail.com,"S-22452, Delhi, DELHI"
EFRAH,9971444366,efrahindia@gmail.com,"S-34553, New Delhi, DELHI"
SAKAAR OUTREACH,9810028687,sakaaroutreach@rediffmail.com,"S-40915, NEW DELHI, DELHI"
Adarsh Seva Samiti,9971126504,adarshsevasamiti@gmail.com,"3690(1977-78), Muzaffarnagar, UTTAR PRADESH"
SOCIAL PARTICIPATION AMONG RURAL PEOPLE FOR SUSTAINABLE HEALTH,9414379407,sparsh.ngo@gmail.com,"77 Ajmer 2000 2001, AJMER, RAJASTHAN"
Society for Newtech Empowerment and Helpage,9454680521,snehtrainings@gmail.com,"739-2008-2009, Lucknow, UTTAR PRADESH"
FAIR TRADE FORUM INDIA,9891090853,ftfindia@gmail.com,"37844/2000, Delhi, DELHI"
R K Sansthan,9414018114,rksansthan@mail.com,"252/82-83, Jaipur, RAJASTHAN"
Society for the Welfare of Weaker Sections,9437072197,jagannathraju7@rediffmail.com,"GJM 574.51, Parlakhemundi, ORISSA"
ANK,9810561157,info@ankindia.org,"S-48368, Delhi, DELHI"
Rural Association for Womens Alligatory Tribute,9312412055,rawatorg@gmail.com,"S-36240/99, New Delhi, DELHI"
Humana People to People India,9560434695,info@humana-india.org,"55-93972, New Delhi, DELHI"
Centre for Community Initiative,9612153082,pauzagin@communityinitiative.in,"No. 6 of 2002, Churachandpur, MANIPUR"
HIMALAYAN JAN KALYAN SAMITI,9818432977,himalayan_jankalyan@yahoo.co.in,"295/1988-1989, Bageshwar, UTTARAKHAND"
WOMEN AND RURAL URBAN DEVELOPMENT ASSOICATION,9818097014,warudango@yahoo.co.in,"S-39707, NEW DELHI, DELHI"
Athencottasan Muthamizh Kazhagam AMK,9444691456,amkcentre@gmail.com,"85/1971, Kanyakumari, TAMIL NADU"
REACHA,9811447613,nikhil@reacha.org,"S 22726, N Delhi, DELHI"
DEEPSHIKHA MAHILA BAL UTTHAN SAMITI,9351385042,directordeepshikha@gmail.com,"247, Jaipur, RAJASTHAN"
DHRUVH SOCIAL AWARENESS FORUM,9873343383,dhruvh@gmail.com,"S-34202, South Delhi, DELHI"
Ganga Shikshan Prasarak Mandal Dhangar Takli,9422176876,gspmdt@yahoo.co.in,"154/93, Purna, MAHARASHTRA"
Lalded Women Welfare Society,9419241092,laldedwwsociety@gmail.com,"3608-S of 2001, Jammu, JAMMU & KASHMIR"
Falak,9582393289,shelly1988@gmail.com,"53832, New Delhi, DELHI"
SUPREME TASK,9818810304,supremetask@yahoo.co.in,"S 24131, New Delhi, DELHI"
Midnapore District Council for Social Welfare,9434692309,mdcsw.org@gmail.com,"S/67262, Purba Medinipur, WEST BENGAL"
Haripur Amra Sabai Unnayan Samiti,9932143627,secretaryhasus1988@rediffmail.com,"S/71598, Kolkata, WEST BENGAL"
SEWA SANSTHAN,9559938333,seva.sansthan1947@yahoo.in,"617/61-62, Ballia, UTTAR PRADESH"
Society of Indian Institute for Rural Development,9414079501,iirdjpr@gmail.com,"335, Jaipur, RAJASTHAN"
integrated women and children development centre,9436039002,iwcdcanni5@yahoo.com,"3042 of 1980, Imphal, MANIPUR"
Sabuj Sangha,9831001655,director@sabujsangha.org,"S/16979 of 1975-76, Kolkata, WEST BENGAL"
JANA SWASTHYA SEVA SANSTHA,9437122636,janaswasthya@yahoo.co.in,"KLD 559/110, Bhawanipatna, ORISSA"
Siliguri Institute for General Notion and Information Society,9547725102,sanjibdeyslg@gmail.com,"S/IL/52784, Siliguri, WEST BENGAL"
DEEP VIDYA MANDIR SAMITI,9414035821,dvmsngo@gmail.com,"45/92-93, Dausa, RAJASTHAN"
URBO RURAL INTEGRATED DEVELOPMENT ASSOCIATION,9810077875,urida1992@yahoo.com,"S/22004, New Delhi, DELHI"
SUBHASH CHILDREN SOCIETY,9935309431,subhashchildrensociety@gmail.com,"K984, KANPUR, UTTAR PRADESH"
rameshwar welfare trust ludhiana,7837744724,rwtludhiana@gmail.com,"752, LUDHIANA, PUNJAB"
Love And Care India Trust,9960607288,lacitrust@yahoo.co.in,"F-21796, Nagpur, MAHARASHTRA"
Rural Development Foundation,9825252523,aitc44@yahoo.co.in,"GUJ/170/Anand, ANAND, GUJARAT"
Centre for Rural Education and Development Society,9440045891,secretary_creds@rediffmail.com,"95 of 89, GORANTLA, ANDHRA PRADESH"
Human Development Society,9971222966,info@hdsindia.org,"S/45341, Delhi, DELHI"
TARUN CHETNA,9415230412,tarunchetna@gmail.com,"123/1993-94, Pratapgarh, UTTAR PRADESH"
MAYURBHANJ BIOLOGICAL RESEARCH,9437239929,mbrindia@gmail.com,"MBJ-7047-30, BARIPADA, ORISSA"
Voluntary Association for Rural Development,9437379944,vardbaripada@gmail.com,"MBJ-6706-423, Baripada, ORISSA"
Siliguri Bhodhi Bharati Vocational Institute,9475082866,sbbvisbbvi@gmail.com,"S/IL/666, Siliguri, WEST BENGAL"
Leading Organisation For Rural Development,9777244820,lorddirector@gmail.com,"5509/29, Dhenkanal, ORISSA"
The First Aid Home Nursing Practitioners Welfare A,9441373600,fahnpwa@gmail.com,"582/2002, Pegadapally, TELANGANA"
St lukes community health development centre,9881595566,moseskharat@gmail.com,"F2366, Buldana, MAHARASHTRA"
Progressive Youth Forum,8284886767,1997pyf@gmail.com,"256, Ghagga, PUNJAB"
Naisargik Trust,9909960835,naisargikpln@gmail.com,"E841, Palanpur, GUJARAT"
Lokamata Rani Rashmoni Mission,9433219813,secretary@rashmoni.org.in,"S/59662, Nimpith, WEST BENGAL"
Society for Indian Development,9978519143,sidgujarat08@gmail.com,"1071, Sundalpura, GUJARAT"
SREEMA MAHILA SAMITY,9434064299,secretarysreema@gmail.com,"S/12241, DUTTAPILIA, WEST BENGAL"
Swasthya Bhabna Welfare Society,9433345591,pradipdr2@gmail.com,"S/95275, Serampore, WEST BENGAL"
BACKSTAGE,9415367179,backstage.cult@gmail.com,"1525,2002-03, renew 975,2007, Allahabad, UTTAR PRADESH"
Wise Men Civic Welfare Association,9000994894,wisemencivicwelfareassociation@gmail.com,"644, NARSIPATNAM, ANDHRA PRADESH"
Social and Development Research and Action Group,9910082669,mala_bhandari@hotmail.com,"S-48586, Delhi, DELHI"
Peoples Action for Development,9443041804,padgom@gmail.com,"145/2013, MADURAI, TAMIL NADU"
ADHAR,9437320195,adhar_bpd@hotmail.com,"MBJ-6700-417/1998-99, Baripada, ORISSA"
Shri Jagatbharti Education And Charitable Trust,9925471856,hitesjit@gmail.com,"E/572, Chotila, GUJARAT"
Partner Hooghly,9433151396,partnerhooghly93@gmail.com,"S/81410 of 1995-96, HOOGHLY, WEST BENGAL"
Tribhuvandas Foundation,9726736304,tf_org@yahoo.com,"ANAND/E/1348, ANAND, GUJARAT"
Santi Tuberculosis Control Society,9831643067,stcstb@gmail.com,"S/32705 of 1981-82, Kolkata, WEST BENGAL"
ISLAMPUR RAMKRISHNAPALLY RURAL WELFARE SOCIETY,9434458614,irrwsngo@gmail.com,"S/88802 of 1997-98, Islampur, WEST BENGAL"
PRAYAS ORGANISATION FOR SUSTAINABLE DEVELOPMENT,9624004045,mail@prayas4development.org,"F945/Gujarat/Panchmahal, ADALAJ, GUJARAT"
Ekta,9437233542,ektan@rediffmail.com,"kpt-2248-21-1995/96, Koraput, ORISSA"
West Bengal SC ST and Minority Welfare Association,9831504477,secretary@wbscstmwa.org,"S/57955, Kolkata, WEST BENGAL"
TAJMAHAL GRAM BIKASH KENDRA,9830468513,tgbk2012@gmail.com,"S/53461, Kolkata, WEST BENGAL"
Ehsaas Foundation,9811986651,ehsaasfoundation@gmail.com,"45697/2003, New Delhi, DELHI"
SAARANSH,9828371806,bhawanapradhan13@gmail.com,"14/ 2008-09, AJMER, RAJASTHAN"
Krishna Foundation,9810160577,krishnafoundation@rediffmail.com,"S 40852, DELHI, DELHI"
Loksandarbh Adhyayan  Samiti,9410585727,loksandarbh.samiti@gmail.com,"349 renewal no. 36/2014-15, Almora, UTTARAKHAND"
SAMAJIK YUVA SANGTHAN SANSTHAN,9928181808,ramdayal_84@yahoo.com,"759/2004-05, JAIPUR, RAJASTHAN"
Sakshi,9811233595,sakshi.cec@gmail.com,"S-24580, New Delhi, DELHI"
Health and Eco Defence Society,9830117184,heds11@gmail.com,"S71556, Kolkata, WEST BENGAL"
THE MIRACLE,9437436212,miraclengo@yahoo.com,"IGR21738/172, BHADRAK, ORISSA"
NARI O SISHU KALYAN KENDRA,9830646876,nskk1979@gmail.com,"S/26229, KOLKATA, WEST BENGAL"
Adithi,8252254574,adithiwomen@rediffmail.com,"51/1988-1989, Patna, BIHAR"
FOCUS Forum of Communities United in Service,7278761172,focus_kolkata@hotmail.com,"S/48942, Kolkata, WEST BENGAL"
MEERA WELFARE SOCIETY,9437112507,meera_102007@rediffmail.com,"KJR-2651-181-96/97, KEONJHAR, ORISSA"
JAN SEVA EVAM SHIKSHAN SANSTHA,9810092780,jsssindia@gmail.com,"S/58687/2007, NEW DELHI, DELHI"
AIDENT SOCIAL WELFARE ORGANISATION,9871129333,aidentsworg@yahoo.com,"S38010, DELHI, DELHI"
AJAGAR SOCIAL CIRCLE,9435725238,ajagarsocialcircle@yahoo.co.in,"26, Goalpara, ASSAM"
Sahara Health and Education Society,9836612779,oursahara1993@gmail.com,"S / 74074, Kolkata, WEST BENGAL"
SOCIETY FOR DEVELOPMENTAL ACTION,9437136450,sodabpd@gmail.com,"MBJ /1831-246 of 1984-85, , ORISSA"
Society for Education and Welfare Activities SEWA,9416384735,sewamgarh@yahoo.co.in,"1340, Narnaul, HARYANA"
Association for Learning Performing Arts and Normative Action,9818258551,alpanasociety@gmail.com,"S-48001, New Delhi, DELHI"
Bhaskar Foundation,9891319043,bhaskarfoundation@gmail.com,"6959, Noida, UTTAR PRADESH"
MAHILA MARGADARSHI,9848564895,mmd_org@yahoo.com,"264/1998, Visakhapatnam, ANDHRA PRADESH"
Akshara Foundation of Arts and Learning,9820723584,afalindia@gmail.com,"F-35919, Mumbai, MAHARASHTRA"
mudhra,9840072821,radha@mudhra.org,"272, chennai, TAMIL NADU"
DCVS,9212704840,dcvsngo49@yahoo.com,"S/25148, New Delhi, DELHI"
PRAKALPA,9437056514,prakalpa.keonjhar@gmail.com,"KJR-746-86 0f 1988-89, Kendujhargarh, ORISSA"
STEER FOUNDATION,9650347606,steerfoundation@hotmail.com,"26559, SOUTH DELHI, DELHI"
DUARS ALTERNATIVE MEDICAL RESEARCH INSTITUTE,9434257983,damri2007@rediffmail.com,"S/96837, Alipurduar, WEST BENGAL"
Sense International India,9824013981,info@senseintindia.org,"E/11279/Ahmedabad, Ahmedabad, GUJARAT"
GIMAT EDUCATION AND RURAL DEVELOPMENT SOCIETY,9414077456,geards11@gmail.com,"508, JAIPUR, RAJASTHAN"
OUTREACH Association of Volunteers for Rural Development,9449077530,outreach@outreachindia.org,"167, Bangalore, KARNATAKA"
Purwanchal Sewa Sansthan,9415383712,pssdeoria@rediffmail.com,"2280/71-72, Deoria, UTTAR PRADESH"
Centre for Rural Education and Development,9443468079,credngo@gmail.com,"118/87, Madurai, TAMIL NADU"
Mahila Utthan,9839109199,mahila_utthan@rediffmail.com,"785/2000-2001, Deoria, UTTAR PRADESH"
SANKALP,9937073022,piyusha39@rediffmail.com,"dkl-4305/309 of 1995-96, DHENKANAL, ORISSA"
INSTITUTE FOR THE HANDICAPPED AND BACKWARD PEOPLE,9883305988,ihbpkol@gmail.com,"S/IL/6247, Kolkata, WEST BENGAL"
THERMAL YOUTH CLUB,9938741114,tycngo@rediffmail.com,"DKL-2853/217 OF 1992-93, ANGUL, ORISSA"
Gramin Kshetra Vikash Samiti,9412027043,radsgramin@yahoo.co.in,"343/1999-200, New Tehri, UTTARAKHAND"
Bal Vikas Mahila Mandal,9975772222,bvmm_latur@yahoo.com,"Mah/254/86/ltr, Latur, MAHARASHTRA"
IDEAL Global Social and Welfare Organization,9893129893,igswo.nif.in@gmail.com,"MP/12519/03, Bhopal, MADHYA PRADESH"
Nishakt jan kalyan seva samiti pamgarh,9425538750,njkss.pmg@gmail.com,"2294, Pamgarh, CHHATTISGARH"
Vivekananda Loksiksha Niketan,9434943246,vlncontai@yahoo.in,"S/38056, Kolkata, WEST BENGAL"
Social Organization for Voluntary Action,8763329370,sovaranpur@gmail.com,"22473/63 of 2007-08, Raj Ranpur, ORISSA"
Gram Vikas Trust,9662006293,trusteegvt@gmail.com,"E -2875, Bharuch, GUJARAT"
Dhosa Chandaneswar Bratyajana Samity,9635345170,dcbsmfi@gmail.com,"S/1L/17782, Kolkata, WEST BENGAL"
LIFE VOLUNTARY ORGANIZATION,9437264392,lifevoindia@yahoo.co.in,"IGR - 22819/29, Jaleswar, ORISSA"
Gracy Organisation for Developmental Services,9290052687,godsorg@gmail.com,"2508/93, Nizamabad, ANDHRA PRADESH"
COODU TRUST,9443061123,coodutrustindia@gmail.com,"150/2000, dindigul, TAMIL NADU"
AKHANDALAMANI JUBAK SANGHA,8280455244,akjsngo@rediffmail.com,"15972/806 OF 1979-80, DHENKANAL, ORISSA"
Mumbai Mobile Creches,9619076682,contact@mumbaimobilecreches.org,"U80101MH2006NPL164821, Mumbai, MAHARASHTRA"
SHIVA GRAMODYOG SEWA SANSTHAN,9450148254,sgss_knp@rediffmail.com,"K-740, Kanpur Nagar, UTTAR PRADESH"
Sagar Samajik Vikas Sanstha Indore,9826533661,hariomjaiswal@yahoo.com,"I.N.D./4080/99, Indore, MADHYA PRADESH"
Mashal Social Welfare Society,9811769757,mswsdelhi@yahoo.com,"S-52397/2005, New Delhi, DELHI"
Rugna Seva Prakalp,9422406785,bsathaye@gmail.com,"F/2889/Sangli, Miraj, MAHARASHTRA"
sahyog care for you,9811069292,sahyog.careforyou@gmail.com,"s41216, delhi, DELHI"
Centre for Development,9431929367,cendev@rediffmail.com,"7346/IV-503, Ranchi, JHARKHAND"
Society for Promotion of Youth and Masses,9899690045,spym@vsnl.com,"S16824, New Delhi, DELHI"
SAHEED YUBA SANGHA,9437763072,saheed_sangha@sify.com,"1616-199/1987-88, Bhubaneswar, ORISSA"
Self Employed Workers Association Kendra,9437153050,sewaksundargarh@rediffmail.com,"IGR Regd No 21907-85, Sundargarh, ORISSA"
Pragati koraput,9437025045,pragatikoraput@gmail.com,"No. Kpt-2035-4/94-95, Koraput, ORISSA"
Deepam Educational Society for Health,9444732610,desh@vsnl.com,"540,1991, Chennai, TAMIL NADU"
Conservation Centre of Herbs Yoga and Naturopathy,9958895004,kamalainda@gmail.com,"S-50584, New Delhi, DELHI"
Centre for Rural Management,9447756269,crmkerala@gmail.com,"K70/90, Kottayam, KERALA"
vasundhara sevarth samajik sansodhan ani vikas sev,9422179776,vasu_ausa@rediffmail.com,"f-5690, latur, MAHARASHTRA"
SHIV SHIVA SNEH SANSTHA,9415281386,sneh@snehsanstha.in,"1284/2002-03, GHAZIPUR, UTTAR PRADESH"
Society to Create Awareness on Public Safety,9849201955,sebc23@yahoo.co.in,"0115, Hyderabad, TELANGANA"
Centre for Dalit Rights,9351317611,cdrjaipur@gmail.com,"08/2004-05, Jaipur, RAJASTHAN"
vailankanni society for rural const and tech edun,9842452597,virtueorg@yahoo.co.in,"19-1993, Thiruthuraipoondi, TAMIL NADU"
LASYAKAIRALI,8086424017,lasyakairali@gmail.com,"K391/06, Kottayam, KERALA"
Jan Shikshan Sansthan Dhar,9981136363,jss.dhar@gmail.com,"03,28,01,08217,05, Dhar, MADHYA PRADESH"
LOK CHETNA MANCH,9410936928,lokchetnamanch@yahoo.com,"1548/1983-84, Haldwani, UTTARAKHAND"
Pahal Foundation,9910026990,pahal_foundation@yahoo.com,"192, Faridabad, HARYANA"
kalyani,8010399622,kalyani.womanchild@gmail.com,"581/98, Noida, UTTAR PRADESH"
Compassion Children Ministries,9612320132,ccm2005info@gmail.com,"767/SR/SPT/wef 2005, Senapati, MANIPUR"
YOUTH FOR SOCIAL DEVELOPMENT,9937190060,ysdbam@gmail.com,"GJM No. 7422/61 of  2005-2006, Berhampur, ORISSA"
Community Agriculture And Rural Education Society,9443397617,cares_org@yahoo.co.in,"13/1995, Tiruttani, TAMIL NADU"
KALAMANDIR THE CELLULOID CHAPTER ART FOUNDATION,9431113055,kalamandir.jsr@gmail.com,"258, JAMSHEDPUR, JHARKHAND"
SUPRATIVA,9437195251,suprativa.org@gmail.com,"19546/159 of 1993-94, Cuttack, ORISSA"
Sri Kanchi Kamakoti Medical Trust,9443119242,seci@sankaraeye.com,"1419(73)/81/82, Coimbatore, TAMIL NADU"
Praja pragathi seva sangham,9440173615,ppssmtm@gmail.com,"298/93, Machalipatnam, ANDHRA PRADESH"
ekalabya voluntary blood donner association,9937788707,ekalabya11@gmail.com,"BGR 445/34/1995-96, Bargarh, ORISSA"
Tarai khadi gramodyog sansthan,9415001465,joyloaded@gmail.com,"2182/91-92, Lucknow, UTTAR PRADESH"
Prakruti Charitable Society,9427547112,21prakruti@gmail.com,"GUJ 1298 KHEDA, F 1000 KHEDA, Nadiad, GUJARAT"
Sankara Eye Hospital,9444391710,info@kannoli.net,"239/04, Chennai, TAMIL NADU"
Citizens Foundation,9431176777,mail2cf@gmail.com,"00285/267/01-02, Ranchi, JHARKHAND"
Indian Career Welfare Society,9837240314,praveenfzd@gmail.com,"2355, Firozabad, UTTAR PRADESH"
Nav Disha Education and Welfare Society,9813123400,navdisha2009@gmail.com,"DR/GGN/0063, Gurgaon, HARYANA"
Gateway Educational and Welfare Society,9878000928,gatewayngo@gmail.com,"DIC/DRA/1218, Sangrur, PUNJAB"
SANTHIGIRI ASHRAM,9891491497,delzone@santhigiriashram.org,"88/78, THIRUVANANTHAPURAM, KERALA"
Draupadi dream Trust,9811032388,draupadi_trust@draupaditrust.org,"8698, New Delhi, DELHI"
INDIAN MEDICINE DEVELOPMENT TRUST,9717973878,imdt97@gmail.com,"2374/IV, DELHI, DELHI"
SEWAK,9300795322,anita11may@yahoo.com,"01/04/02/14773/05, Khilchipur, MADHYA PRADESH"
Sangeeta Darvekar Charitable Trust,9224320230,oralcancerawareness@gmail.com,"E/3092, Bhayandar, MAHARASHTRA"
Zila Yuva Vikas Sanghthan,9992862888,info@zyvs.org,"268/05-06, AMBALA, HARYANA"
JUBAYER MASUD EDUCATIONAL AND CHARITABLE TRUST,7399285594,jalilahmed7@yahoo.co.in,"57/2010, Bongaigaon, ASSAM"
Vidyanagar Nature Club,9898142170,info@vncindia.org,"E2659Anand, Vallabh Vidyanagar, GUJARAT"
BOKAKHAT NIRMAN GUT,9435154239,bngbkt99@gmail.com,"GOLA/239/A/25 OF 2000-2001, Golaghat, ASSAM"
HELPLINE ASSOCIATION,9437541206,helplineassociation@gmail.com,"B.G.R.2100/222/2002-2003, SOHELA, ORISSA"
All India Confederation of the Blind,9810684208,aicbdelhi@yahoo.com,"965 of 1980, Delhi, DELHI"
Jay Hind Nav Yuvak Vikash Samiti,9219729287,oprajput27@gmail.com,"430/99-2000, agra, UTTAR PRADESH"
STAR TRUST,9443422659,startrust123@gmail.com,"40/BK4/2004, PANRUTI, TAMIL NADU"
CENTRE FOR AGRICULTURE AND RURAL DEVELOPMENT,9873061553,accounts@card.org.in,"37671, NEW DELHI, DELHI"
Navchetna Gramin Vikas Avam Kalyan Sansthan,7827345636,navchetna_ti@yahoo.co.in,"19/2001-02, Mau, UTTAR PRADESH"
anchalikshiksha samiti,9928815525,devduttsharma65@yahoo.com,"43/udi/1995, udaipur, RAJASTHAN"
Sanjivani Medical Training Centre,9421437538,sanjeevanibal@rediffmail.com,"f-1050, ahmednagar, MAHARASHTRA"
SOPUTRA,9437049095,soputra@rediffmail.com,"21186/324, PARALAKHEMUNDI, ORISSA"
MAHILA UDYOG PRASHIKSHAN SAMITI,9929720681,mahila_udyog@yahoo.com,"104/1989-90, BARAN, RAJASTHAN"
Manav Seva Sansthan Seva,9838070412,info@manavsevaindia.org,"472, Gorakhpur, UTTAR PRADESH"
Indian Institute of Natural Resources Management,9350171230,iinrem@gmail.com,"1789/1991-92, Noida, UTTAR PRADESH"
Pranav Urja,9899188862,pranavurja@gmail.com,"S - 56382, Delhi, DELHI"
Falah Handicrafts Society,9312209276,falahhandicraftsociety@gmail.com,"S/38395, Delhi, DELHI"
chaithanya kala bhar,9440464877,ckb_ndl@yahoo.com,"1154, nandyal, ANDHRA PRADESH"
Nehru Seva Sangh,9437010672,nehrusevasangh@gmail.com,"203/25 of 1957, Banpur, ORISSA"
ARVI TRUST,9843160475,arvitrust@gmail.com,"136, DINDIGUL, TAMIL NADU"
Vishwabharati WORDSC,9980784369,v_wordsc@yahoo.com,"87/90, Gulbarga, KARNATAKA"
PRAYATNA,9406012958,prayatna.ngo@rediffmail.com,"3557, Ambagarh Chowki, CHHATTISGARH"
INTEGRATED DEVELOPMENT ORGANISATION,9642838736,idoindia@gmail.com,"5444/1999, KODADA, ANDHRA PRADESH"
NEO HUMAN FOUNDATION,9934509213,satyawildlife@gmail.com,"558/2007-08, Hazaribag, JHARKHAND"
Pt G B Pant Instt of Studies in Rural Development,9415026478,pisrd_22@rediffmail.com,"03138, Lucknow, UTTAR PRADESH"
Sadbhabana,9853478616,sadbhabanakeonjhar@gmail.com,"22811/21-2008-09, puri, ORISSA"
SITA DEVI FOUNDATION,9767671080,sitadevifoundation@yahoo.co.in,"2840, DELHI, DELHI"
VAAGDHARA,9414102643,vaagdhara@gmail.com,"1/BANSWARA/1986-87, Banswara, RAJASTHAN"
Jan Kalyan Samajik Santhan,9424112310,jksssomni@gmail.com,"5455, Rajnandgaon, CHHATTISGARH"
Society for Participatory Integrated Development,9311257097,spidsociety@gmail.com,"S-48482, New Delhi, DELHI"
MAITRI,8128683506,maitripln@gmail.com,"F 2110 Banaskantha, palanpur, GUJARAT"
CAPTAIN GURDEEP SINGH SOCIETY,9501141111,capt_gss@yahoo.com,"97 of 2004-05, AMRITSAR, PUNJAB"
S R Institute of Development,9419017612,sr.insttdev@gmail.com,"2945-S, Srinagar, JAMMU & KASHMIR"
NEAT      NGOs education and trainings,9906707012,neatngo@gmail.com,"4087-S of 2002, srinagar, JAMMU & KASHMIR"
Shri Gururaj Shikshan Samsthe,9448012884,sgsshungund.bgk@gmail.com,"54/2003-04, HUNGUND, KARNATAKA"
COMMUNITY ACTION FOR RURAL DEVELOPMENT SOCIETY,9894191571,jbvcards@yahoo.co.in,"98/2003, Gingee, TAMIL NADU"
Kanthi Samstha,9949838482,kanthi_samstha@rediffmail.com,"454 0f 1991, Vijayawada, ANDHRA PRADESH"
KARUNAGAPALLY TALUK MUSLIM SADHU SAMRAKSHNA SAMATHI,9446785851,ktmssskarunagapally@gmail.com,"Q813/81, Karunagappally, KERALA"
Society for Environment and Social Awareness SESA,9431138297,sesa_environment@yahoo.co.in,"110/92-93 & 142/06-07, DALTONGANJ, JHARKHAND"
Maithili Lok Rang MAILORANG,9811774106,mailorang@gmail.com,"54934, Delhi, DELHI"
SOCIETYS ABBATIAL NETWORK FOR GREATER ADVANCEMENT,9862008812,sanga_forum@yahoo.com,"506-SR-1993-SR, Churachandpur, MANIPUR"
Jan Sarokar,9471313371,jansarokar2000@gmail.com,"IV, 23, Giridih, JHARKHAND"
CHRISTIAN TRUST OF INDIA,8974002230,christiantrustofindia@yahoo.co.in,"263-SR-2005-CCP, Churachandpur, MANIPUR"
Arshabharath Bahujana Bodhavalkarana Gramavikasa,9447082700,arshabharathmail@gmail.com,"15/88, MEPPADI, KERALA"
CHETANALAYA,9868405948,chetanalaya@gmail.com,"S 25427, New Delhi, DELHI"
Seva Samiti,9938060137,sevasamiti1995@gmail.com,"IGR 21214/17, Dhenkanal, ORISSA"
SOCIETY FOR WOMEN ACTION DEVELOPMENT,9437280605,swadbina@yahoo.com,"2895/294-1991-92, Sakhigopal, ORISSA"
JANHIT SEWA SANSTHAN,9259094261,JANHITRMP@REDIFFMAIL.COM,"24, RAMPUR, UTTAR PRADESH"
